X,Y,Z
71.98,-179.58,799.22
81.74,-178.00,881.82
100.89,-174.46,892.31
92.84,-168.60,894.87
88.82,-147.86,921.59
95.65,-159.70,939.64
83.20,-148.11,940.38
98.70,-140.79,955.87
91.99,-138.96,951.84
89.30,-121.76,961.85
97.11,-126.15,971.61
78.57,-111.39,962.34
89.79,-111.51,978.20
83.20,-123.46,991.62
62.83,-148.11,995.89
73.44,-164.70,1022.60
80.03,-185.93,997.23
91.74,-184.95,994.30
86.25,-185.56,976.24
99.80,-190.20,995.76
87.60,-181.41,997.23
91.26,-174.95,1015.28
77.59,-163.85,1009.43
83.69,-153.60,1018.09
72.22,-143.47,1003.57
62.46,-119.56,1004.30
71.98,-123.71,1023.09
59.66,-118.10,1016.99
67.83,-124.20,1017.72
59.29,-121.39,1009.92
65.39,-132.37,1008.33
69.30,-128.71,1010.89
72.59,-141.28,1005.65
72.96,-133.71,1008.09
82.72,-147.13,1015.65
75.40,-140.79,1014.55
85.16,-154.45,1017.97
78.32,-154.33,1007.35
86.38,-151.52,1006.38
78.45,-155.06,997.59
87.84,-162.87,1007.96
77.84,-156.40,1007.96
85.52,-164.33,1010.77
78.08,-156.40,1010.89
84.91,-167.14,1012.60
81.98,-158.97,1007.96
85.16,-168.36,1001.62
81.25,-157.26,1007.48
89.55,-165.68,1016.75
79.79,-166.29,1001.86
87.11,-160.67,1010.28
80.76,-166.90,1002.84
90.65,-173.48,1011.99
77.10,-168.12,1004.79
83.57,-176.17,1007.48
71.25,-168.24,1006.74
76.86,-177.14,1009.67
69.91,-167.75,1009.67
79.54,-171.78,1018.21
68.81,-166.65,1012.11
75.76,-173.48,1016.75
59.90,-171.41,1008.45
59.05,-162.14,1018.46
54.29,-168.48,1009.43
64.90,-170.80,1017.48
52.46,-165.07,1009.92
62.22,-178.24,1026.39
44.16,-180.32,1052.62
45.38,-187.03,1067.74
39.28,-159.82,1062.99
75.52,-153.60,1013.21
84.18,-117.36,936.96
103.70,-104.92,925.74
96.26,-113.34,951.97
101.50,-138.59,1024.56
83.57,-142.74,1041.64
80.76,-156.40,1056.15
76.49,-143.72,1040.90
82.96,-136.52,991.25
95.40,-119.80,984.30
115.17,-139.08,1020.41
110.78,-136.76,1004.18
121.39,-159.45,1004.18
116.27,-168.48,1000.16
128.71,-173.00,999.42
120.78,-180.80,996.86
127.61,-185.32,1007.60
117.12,-192.27,995.15
125.42,-203.98,1000.40
117.12,-202.52,993.81
122.73,-211.79,998.69
118.58,-208.50,998.81
126.15,-222.28,994.79
122.98,-217.77,997.35
129.08,-225.21,1008.45
115.29,-216.92,995.76
127.00,-211.55,1008.70
128.47,-224.36,1002.23
131.64,-218.87,1007.60
121.27,-216.79,994.67
126.88,-224.24,995.28
124.20,-207.64,1000.28
124.20,-211.79,994.18
131.15,-200.93,1002.84
137.37,-210.33,999.91
139.81,-201.79,1005.52
135.66,-205.94,995.89
136.27,-193.98,999.18
147.13,-202.76,1003.94
146.64,-192.03,1006.38
145.91,-195.20,996.25
154.09,-189.22,1007.11
143.47,-181.54,999.18
153.72,-191.30,1002.84
150.55,-181.90,1002.60
149.69,-190.20,996.01
146.52,-176.41,998.69
157.26,-183.61,1004.43
154.82,-173.48,1005.28
152.74,-180.32,996.13
150.30,-168.12,999.42
146.89,-174.70,991.98
159.33,-171.53,1006.99
147.62,-169.95,994.54
153.60,-178.85,995.28
154.09,-167.38,1000.64
160.55,-177.63,1001.86
161.89,-168.97,1007.96
155.31,-177.63,996.01
165.19,-177.63,1009.18
148.35,-173.85,994.54
161.04,-171.17,1008.45
152.13,-176.66,996.25
162.26,-175.92,1008.70
146.64,-172.26,993.81
