X,Y,Z
-23.18,162.02,996.13
-21.35,161.77,995.52
-17.2,158.6,997.72
-15.37,156.89,1000.64
-10.98,156.16,1005.65
-9.52,153.6,1007.72
-10.98,151.4,1008.7
-10.0,149.57,1011.5
-7.81,148.35,1015.53
-6.34,149.08,1018.7
-4.88,148.96,1021.51
-5.61,148.84,1024.43
-5.37,149.45,1026.02
-8.17,149.94,1025.78
-9.76,149.82,1026.14
-12.93,149.33,1028.7
-13.42,150.3,1029.44
-13.42,152.01,1025.04
-12.69,153.23,1021.87
-12.2,154.33,1023.34
-15.25,154.94,1024.92
-15.25,156.65,1024.43
-11.47,159.58,1021.75
-10.61,158.97,1021.38
-9.27,157.87,1023.09
-10.0,158.11,1024.19
-11.83,160.31,1023.34
-11.96,158.97,1015.77
-11.71,157.38,1012.84
-12.32,154.45,1011.75
-12.93,155.55,1013.94
-12.81,153.96,1012.11
-9.88,152.01,1009.55
-4.51,151.89,1006.26
-0.73,150.06,1007.35
3.17,149.69,1009.67
6.34,150.06,1009.43
13.42,148.96,1006.38
16.47,148.11,1003.45
20.74,147.74,1000.52
25.99,148.84,1001.62
33.18,148.35,999.67
40.75,149.94,994.67
48.07,151.04,991.74
53.44,150.06,994.54
55.39,150.18,996.62
61.37,152.26,1000.03
63.32,151.4,998.45
67.1,147.25,996.13
69.17,147.86,996.62
72.71,147.99,996.98
75.88,146.77,998.57
80.4,144.2,1002.11
82.23,145.3,1004.06
83.94,142.25,1005.89
84.91,140.42,1009.18
83.94,139.57,1013.33
79.79,135.05,1014.31
78.32,134.44,1013.21
75.15,134.32,1013.7
73.2,134.57,1016.75
68.56,133.96,1020.53
66.12,134.32,1020.77
62.22,136.15,1020.16
57.34,133.71,1020.04
53.19,132.98,1024.56
47.7,135.66,1026.02
43.19,134.81,1022.36
42.21,132.86,1022.12
41.72,134.32,1025.78
41.36,136.15,1026.63
40.75,136.64,1023.95
40.99,136.88,1018.33
41.72,137.01,1016.5
45.63,135.54,1012.72
46.12,136.4,1012.84
44.65,136.4,1012.36
40.99,135.05,1004.55
40.75,131.76,999.91
38.92,132.86,998.2
37.7,134.08,998.2
40.99,132.61,1000.4
43.19,132.25,1002.11
46.36,133.22,1005.28
45.26,134.44,1003.82
43.43,137.01,1005.52
42.7,139.08,1008.45
43.43,138.1,1011.99
44.41,132.13,1011.62
42.21,131.52,1013.94
34.28,135.18,1020.53
28.43,133.22,1024.19
25.62,135.91,1021.87
22.2,135.42,1018.46
20.25,133.47,1021.99
18.06,133.22,1028.58
17.32,136.64,1029.92
15.49,142.01,1026.26
11.47,139.2,1015.65
12.08,141.15,1017.97
13.3,143.84,1020.53
13.18,146.16,1021.63
13.66,148.11,1020.9
14.15,147.74,1023.34
7.2,150.79,1031.63
6.1,152.01,1031.02
7.69,150.06,1026.39
9.03,146.89,1022.36
7.56,145.55,1022.24
5.86,145.18,1023.09
8.05,144.69,1021.26
8.54,143.59,1018.21
6.1,141.76,1013.94
5.25,137.37,1013.09
4.15,136.27,1016.5
1.83,135.3,1016.14
1.83,133.83,1012.36
3.66,134.2,1010.4
3.42,135.79,1010.53
3.54,135.66,1012.11
4.15,134.81,1012.11
6.34,134.32,1011.01
9.88,133.96,1011.62
13.66,132.74,1012.11
12.57,133.59,1007.23
10.98,132.25,1004.55
6.71,129.56,1003.08
5.73,129.56,998.81
4.15,132.0,990.52
2.93,131.27,989.91
1.34,129.56,993.57
0.73,129.81,994.54
-3.17,128.95,993.08
-8.05,128.59,994.91
-11.35,125.9,998.81
-7.56,122.73,1003.45
-4.39,122.24,1005.52
-4.64,122.0,1007.72
-8.17,117.61,1008.45
-2.2,116.39,1011.14
0.98,114.8,1011.99
0.73,110.9,1014.31
0.98,109.68,1015.04
2.2,110.9,1013.94
1.46,111.26,1012.36
-5.12,109.31,1012.11
-12.44,108.34,1014.67
-19.89,112.48,1012.6
-29.04,113.83,1010.89
-33.79,112.36,1012.6
-29.52,112.24,1020.65
-20.86,113.58,1029.44
-11.1,113.7,1032.85
-10.25,113.09,1031.63
-12.57,108.58,1030.9
-10.49,108.82,1034.07
-4.39,108.09,1035.66
1.59,106.87,1042.98
5.61,105.53,1044.81
3.66,107.73,1040.78
-7.32,105.65,1040.66
-15.49,105.41,1040.05
-13.79,108.09,1034.07
-9.03,108.7,1026.39
-5.37,108.82,1025.53
1.71,113.09,1024.31
2.93,112.61,1022.97
3.17,113.95,1023.21
9.03,116.75,1018.46
17.81,114.19,1015.53
19.28,112.24,1018.94
22.45,113.22,1024.56
28.06,112.24,1020.9
32.21,107.36,1010.89
33.43,105.9,1009.79
33.31,100.04,1008.09
31.48,94.43,1005.52
30.5,92.35,1003.57
29.04,91.74,1001.86
27.57,87.84,999.06
29.04,87.6,1002.23
25.13,83.2,1001.25
22.94,79.18,1002.6
21.96,76.13,1009.79
17.57,76.74,1016.26
13.05,72.96,1022.12
13.91,68.81,1028.95
14.03,67.59,1030.66
17.69,67.34,1026.26
20.01,67.1,1026.63
25.25,62.95,1035.54
29.16,61.85,1037.73
28.79,61.12,1039.32
21.84,59.29,1036.02
19.15,59.9,1035.17
16.35,61.24,1031.63
13.18,63.56,1037.73
12.57,65.39,1037.12
0.61,71.74,1032.0
-7.93,73.2,1025.53
-6.22,73.57,1023.21
5.98,66.86,1019.43
11.35,67.1,1018.46
18.06,64.29,1014.92
23.79,67.95,1005.04
25.62,67.34,1001.62
19.76,64.66,1002.35
19.52,61.98,998.69
25.99,59.54,993.57
24.28,58.56,984.91
27.21,59.17,981.25
29.28,59.54,980.15
31.72,61.98,975.51
33.92,61.98,975.27
40.5,65.51,977.71
44.04,65.03,981.12
45.38,65.39,984.54
49.17,66.73,990.03
50.87,68.2,994.54
51.0,67.83,999.67
51.73,68.56,1008.21
49.17,69.91,1016.26
44.53,71.74,1020.41
43.92,72.96,1024.43
47.58,72.35,1028.58
44.9,72.96,1037.24
42.58,73.93,1041.64
37.09,77.84,1044.56
28.43,79.67,1041.51
15.01,82.47,1048.59
4.64,88.33,1057.98
6.59,95.53,1048.22
9.76,102.85,1045.78
13.3,102.36,1057.62
19.28,103.09,1067.26
21.84,107.36,1073.84
20.62,109.43,1074.58
20.25,110.65,1068.84
21.47,111.75,1068.96
26.11,113.34,1070.55
28.06,115.66,1062.38
10.98,113.46,1055.3
20.13,108.09,1057.98
26.6,104.07,1057.74
30.01,103.21,1050.05
42.7,102.24,1046.15
51.36,106.02,1049.2
56.61,108.58,1049.2
59.29,108.7,1047.0
64.05,111.26,1039.93
62.83,110.04,1035.05
58.8,106.38,1027.48
62.46,101.75,1024.8
57.83,104.19,1017.97
60.02,103.21,1011.87
70.52,104.43,1007.48
67.95,107.12,1012.84
61.98,104.31,1010.4
61.37,105.53,1011.5
59.41,103.7,1011.14
50.75,103.82,1014.06
47.82,103.7,1014.55
45.99,102.48,1009.92
37.82,99.43,1011.62
27.08,94.79,1012.6
21.96,95.89,1014.19
22.08,97.48,1008.94
25.5,96.14,1002.11
30.5,92.48,1004.18
23.55,94.92,1011.87
20.74,95.4,1010.65
18.79,98.33,1006.13
20.13,96.75,1005.77
21.47,96.5,1008.94
19.28,98.82,999.18
20.62,98.09,999.42
19.4,96.01,1003.82
15.62,97.84,1009.92
7.44,100.53,1004.67
-0.61,102.11,986.25
1.46,99.06,972.83
5.0,91.99,990.03
16.47,88.94,1004.43
22.45,89.3,1007.84
25.62,96.62,992.84
32.7,97.23,980.76
51.24,97.36,972.34
63.93,89.06,981.37
69.42,83.57,994.3
71.74,90.65,1006.5
63.2,92.23,1005.28
47.46,87.23,994.79
35.87,78.69,986.25
37.45,73.69,1001.62
39.77,75.64,1009.55
40.14,81.98,1024.56
38.55,87.35,1033.1
21.47,81.5,1036.88
38.31,72.47,1039.44
54.05,69.3,1052.37
53.44,69.42,1057.98
57.46,76.62,1063.11
69.17,82.72,1058.23
69.05,87.84,1058.35
59.05,88.82,1057.74
59.66,90.28,1050.91
56.49,89.06,1045.05
51.12,92.6,1046.39
45.75,96.26,1048.47
42.46,103.33,1047.25
41.97,104.68,1045.3
42.09,108.46,1043.83
41.72,109.43,1036.15
43.31,112.97,1032.97
44.16,110.53,1030.78
42.33,104.31,1023.82
41.72,100.77,1019.8
38.19,95.77,1013.82
38.06,92.23,1013.21
38.31,86.86,1014.31
40.63,85.77,1014.31
37.7,87.11,1014.43
41.72,88.82,1013.21
49.04,89.43,1012.72
51.24,87.6,1015.28
50.75,86.74,1015.28
44.9,86.13,1012.97
44.9,89.79,1011.26
43.8,89.06,1010.28
42.82,89.67,1010.77
42.33,93.7,1011.87
41.72,96.01,1008.94
43.43,101.26,1003.57
47.21,102.24,1009.79
47.09,105.04,1013.7
42.33,105.9,1014.19
41.11,105.29,1016.02
40.99,105.53,1018.09
46.12,106.75,1022.73
49.65,106.38,1027.24
53.19,108.7,1027.73
53.56,109.31,1025.9
50.02,107.6,1025.41
48.43,106.38,1026.63
45.38,105.9,1027.0
48.43,101.87,1020.9
51.36,100.04,1018.82
51.0,100.53,1018.7
49.29,102.36,1017.11
46.6,103.7,1014.06
46.24,106.75,1009.31
48.56,104.92,1009.31
49.9,104.8,1012.23
48.07,106.38,1012.6
45.38,106.26,1010.65
41.48,102.72,1005.65
42.21,101.63,1001.74
40.75,100.77,1001.62
39.89,98.09,1003.94
42.82,96.87,1004.79
40.99,95.53,1005.28
37.7,94.79,1006.5
35.26,93.45,1008.82
34.4,92.6,1008.82
34.16,90.65,1006.74
33.79,90.52,1006.13
30.5,92.72,1006.62
27.45,94.31,1006.99
27.69,96.14,1006.74
29.77,95.04,1006.62
31.84,94.67,1007.96
31.84,96.5,1013.21
32.45,96.75,1014.67
32.21,98.21,1012.84
33.43,99.31,1010.53
35.99,99.8,1012.6
38.31,100.28,1014.67
42.21,100.16,1014.31
43.19,99.8,1013.21
42.82,98.82,1012.84
42.46,100.04,1014.92
38.8,98.58,1013.94
37.82,96.87,1011.62
41.36,97.23,1012.23
43.68,98.33,1012.36
43.31,98.09,1012.36
42.58,97.97,1012.11
42.33,97.48,1012.84
42.21,95.89,1012.11
41.24,96.62,1012.6
35.62,97.6,1011.38
33.67,96.62,1011.26
32.45,94.06,1009.67
30.26,93.94,1009.92
25.62,95.89,1010.16
24.64,96.01,1007.96
23.91,94.67,1006.62
22.45,94.31,1010.28
23.18,94.18,1013.21
20.98,94.92,1013.7
19.89,93.21,1013.58
19.28,92.35,1015.04
20.25,91.38,1015.77
19.28,93.7,1014.31
18.91,93.7,1012.36
19.76,93.94,1010.65
18.18,93.45,1012.6
14.03,94.55,1014.8
11.71,94.31,1012.84
10.0,91.62,1010.16
10.98,91.74,1010.77
11.71,93.57,1014.19
12.08,94.55,1014.92
12.57,94.92,1013.58
14.03,96.26,1013.09
17.81,97.11,1012.84
19.64,96.87,1013.33
18.18,95.04,1010.65
17.57,95.28,1006.62
19.4,92.96,1002.35
19.28,92.96,1002.35
19.64,94.67,1003.94
19.52,93.45,1004.3
20.98,92.96,1005.89
20.25,91.62,1006.87
22.69,92.6,1011.14
23.91,91.26,1012.6
21.72,90.04,1013.45
19.52,89.3,1014.19
16.96,86.38,1016.14
16.84,84.55,1022.6
20.98,83.69,1029.19
27.21,86.74,1018.58
27.33,87.84,1004.55
28.79,86.38,1008.33
28.55,87.23,1015.28
26.47,87.6,1016.87
25.38,90.16,1017.85
25.99,90.52,1019.43
28.79,89.55,1027.36
29.16,89.3,1032.73
26.6,89.91,1034.56
27.57,91.99,1038.1
29.04,90.52,1040.66
39.65,89.3,1062.38
42.94,86.25,1066.52
44.41,78.08,1066.28
47.34,78.08,1061.03
53.07,79.91,1060.3
54.9,80.89,1061.89
57.34,78.2,1060.18
57.58,84.91,1056.4
52.34,90.52,1051.64
44.16,89.43,1054.81
36.11,92.23,1054.32
28.3,95.28,1047.13
21.96,95.04,1044.81
20.01,97.48,1045.17
20.01,108.58,1040.54
26.72,117.12,1024.19
33.06,112.97,1014.43
37.09,110.53,1012.84
34.77,108.21,1012.23
27.08,102.85,1014.19
21.96,97.11,1014.06
18.18,89.3,1021.99
20.5,83.08,1037.85
14.88,77.59,1055.54
1.22,72.96,1071.65
0.37,76.62,1075.43
2.93,74.66,1072.75
-0.61,65.39,1084.21
0.0,58.56,1099.22
-5.37,48.8,1115.45
-26.11,55.39,1104.83
-39.77,63.93,1078.97
-34.53,71.86,1064.94
-20.37,76.01,1061.64
-18.91,86.38,1062.62
-22.2,94.31,1055.79
-33.55,112.0,1039.93
-46.48,122.98,1032.73
-45.26,126.03,1029.68
-27.57,125.29,1024.92
-10.13,124.81,1017.85
2.07,138.35,1012.84
-0.85,149.21,1003.82
-0.73,145.79,999.06
3.42,126.76,992.84
18.79,118.46,977.22
31.23,109.8,963.07
