X,Y,Z
-6.95,-15.13,619.39
-7.81,-17.57,764.45
-7.81,-17.81,795.07
-8.42,-18.79,822.28
-9.03,-19.76,846.19
-9.03,-20.50,866.93
-9.03,-20.62,885.35
-8.66,-20.50,901.58
-8.54,-20.37,915.61
-9.15,-21.47,934.03
-8.91,-21.23,944.16
-8.78,-20.98,953.31
-9.03,-21.59,961.36
-9.76,-22.33,968.44
-9.76,-22.69,974.66
-9.64,-22.57,979.78
-9.76,-22.45,982.34
-10.00,-22.94,986.86
-10.00,-23.18,990.40
-9.52,-22.20,992.71
-9.88,-22.33,996.98
-9.88,-22.81,998.94
-9.15,-21.59,1000.16
-9.64,-22.08,1003.21
-10.00,-22.94,1004.67
-9.15,-21.84,1005.52
-10.00,-22.94,1006.62
-9.88,-22.45,1008.45
-9.76,-22.45,1009.18
-10.25,-22.94,1010.65
-9.52,-21.59,1011.38
-9.64,-21.84,1012.36
-10.13,-22.69,1013.45
-9.52,-21.96,1013.94
-9.39,-21.72,1014.55
-9.76,-22.20,1015.53
-10.25,-22.81,1016.26
-9.39,-21.72,1016.38
-10.25,-22.94,1016.63
-9.39,-21.84,1016.99
-10.00,-22.45,1017.72
-10.25,-22.94,1017.97
-9.27,-21.72,1018.09
-9.39,-21.96,1018.46
-9.76,-22.45,1018.58
-9.52,-21.84,1018.94
-9.27,-21.59,1019.19
-9.64,-22.08,1019.55
-9.64,-22.20,1019.68
-9.27,-21.59,1019.92
-10.13,-22.69,1019.80
-9.88,-22.45,1020.16
-9.76,-22.20,1020.41
-10.25,-22.81,1020.41
-9.27,-21.59,1020.41
-9.52,-21.84,1020.65
-10.00,-22.57,1020.77
-9.39,-21.96,1020.65
-9.27,-21.59,1020.77
-9.64,-21.96,1020.90
-9.52,-22.08,1020.90
-9.27,-21.59,1021.02
-10.13,-22.81,1020.90
-9.27,-21.72,1021.02
-9.76,-22.45,1021.26
-10.25,-22.81,1021.38
-9.27,-21.47,1021.38
-9.52,-21.96,1021.38
-10.00,-22.57,1021.63
-9.27,-21.72,1021.38
-9.27,-21.72,1021.26
-9.64,-22.33,1021.38
-9.39,-22.20,1021.38
-10.00,-22.81,1021.63
-9.88,-22.94,1021.51
-9.76,-22.45,1021.51
-10.00,-22.33,1021.75
-10.00,-22.81,1021.63
-9.03,-21.59,1021.38
-9.64,-22.08,1021.75
-10.13,-22.69,1021.87
-10.00,-22.94,1021.63
-9.88,-22.57,1021.75
-9.76,-22.33,1021.87
-9.39,-21.96,1021.75
-9.27,-21.72,1021.75
-10.00,-22.94,1021.63
-9.52,-21.96,1021.87
-9.88,-22.69,1021.87
-9.64,-22.20,1021.99
-10.25,-22.81,1021.87
-9.27,-21.72,1021.87
-9.27,-21.59,1021.87
-9.76,-22.33,1022.12
-10.13,-22.94,1021.99
-9.15,-21.72,1021.87
-9.76,-22.81,1021.87
-9.64,-22.20,1021.99
-9.88,-22.45,1022.12
-9.88,-22.81,1021.87
-9.76,-22.69,1021.87
-9.52,-22.08,1022.12
-10.00,-22.45,1022.24
-9.15,-21.35,1022.12
-9.27,-21.59,1021.87
-9.88,-22.08,1022.12
-10.25,-22.57,1022.12
-9.27,-21.47,1021.99
-10.25,-22.57,1021.99
-10.00,-22.20,1022.24
-10.00,-22.08,1022.12
-10.13,-22.69,1022.12
-9.27,-21.72,1022.12
-9.52,-21.72,1022.12
-10.00,-22.33,1022.12
-9.52,-21.96,1022.24
-9.39,-21.72,1022.36
-9.52,-21.72,1022.12
-10.00,-22.45,1022.24
-9.76,-21.84,1022.60
-10.37,-22.33,1022.60
-9.52,-21.59,1022.36
-9.52,-21.47,1022.36
-9.76,-21.96,1022.48
-9.76,-22.08,1022.36
-9.52,-21.72,1022.48
-9.52,-21.47,1022.36
-10.25,-22.45,1022.36
-9.88,-22.20,1022.60
-9.52,-21.72,1022.36
-10.25,-22.69,1022.24
-10.13,-22.69,1022.12
-9.64,-21.84,1022.24
-10.13,-22.33,1022.36
-9.88,-21.84,1022.48
-10.37,-22.45,1022.36
-10.25,-22.69,1022.12
-10.13,-22.20,1022.36
-9.88,-21.84,1022.60
-10.13,-22.20,1022.48
-10.25,-22.45,1021.99
-9.88,-22.45,1022.12
-9.52,-21.96,1022.36
-9.76,-22.20,1022.24
-9.64,-21.59,1022.36
-10.25,-22.45,1022.48
-10.00,-22.45,1022.12
-9.64,-21.72,1022.36
-10.00,-21.96,1022.97
-10.25,-22.57,1022.36
-9.39,-21.59,1022.24
-9.52,-21.72,1022.73
-9.88,-22.20,1022.48
-10.37,-22.45,1022.48
-9.52,-21.35,1022.60
-10.25,-22.57,1022.36
-10.13,-22.20,1022.60
-10.00,-21.84,1022.97
-10.25,-22.20,1022.85
-9.52,-21.47,1022.36
-9.52,-21.72,1022.24
-10.25,-22.69,1022.36
-9.76,-22.20,1022.48
-9.52,-21.47,1022.73
-9.52,-21.35,1022.48
-10.00,-22.45,1022.24
-9.76,-22.33,1022.48
-10.00,-22.45,1022.73
-9.52,-21.72,1022.60
-9.27,-21.47,1022.60
-9.52,-21.84,1022.73
-9.88,-22.45,1022.60
-9.52,-21.96,1022.60
-9.27,-21.59,1022.60
-10.25,-22.57,1022.36
-10.00,-22.20,1022.36
-9.64,-21.96,1022.73
-10.25,-22.57,1022.73
-10.37,-22.69,1022.36
-9.52,-21.47,1022.60
-10.00,-22.33,1022.60
-9.76,-21.96,1022.60
-10.25,-22.45,1022.73
-10.37,-22.57,1022.60
-9.52,-21.47,1022.48
-9.64,-21.84,1022.60
-10.00,-22.33,1022.73
-9.52,-21.72,1022.60
-9.39,-21.47,1022.48
-9.52,-21.59,1022.97
-9.88,-22.20,1022.85
-10.00,-22.08,1022.73
-10.25,-22.33,1022.85
-9.27,-21.35,1022.85
-9.52,-21.59,1022.73
-9.88,-22.08,1022.85
-9.76,-21.96,1022.73
-9.39,-21.59,1022.60
-9.27,-21.35,1022.85
-10.00,-22.20,1022.85
-9.88,-21.96,1022.73
-10.13,-22.20,1022.73
-10.13,-22.57,1022.60
-9.27,-21.47,1022.48
-10.13,-22.45,1022.36
-9.88,-21.96,1022.73
-9.52,-21.72,1022.85
-10.25,-22.45,1022.60
-10.00,-22.45,1022.60
-9.76,-22.08,1022.85
-9.88,-21.96,1022.85
-10.25,-22.45,1022.85
-10.00,-22.81,1022.48
-9.27,-21.72,1022.36
-10.00,-22.57,1022.36
-9.76,-21.84,1022.73
-10.13,-22.20,1022.85
-10.13,-22.57,1022.73
-10.00,-22.45,1022.60
-9.52,-21.96,1022.60
-10.00,-22.33,1022.60
-10.25,-22.57,1022.85
-9.27,-21.47,1022.85
-9.52,-21.84,1022.60
-10.13,-22.20,1022.85
-9.64,-21.72,1022.97
-10.25,-22.57,1022.60
-10.25,-22.45,1022.73
-9.64,-21.35,1023.09
-10.00,-21.96,1022.73
-9.76,-21.84,1022.48
-9.52,-21.72,1022.60
-9.52,-21.72,1022.85
-9.88,-21.96,1022.97
-9.64,-21.72,1023.09
-9.39,-21.23,1023.09
-9.27,-21.47,1022.85
-9.88,-22.33,1022.85
-9.76,-21.96,1022.85
-10.13,-22.33,1022.85
-9.27,-21.47,1022.85
-9.15,-21.59,1022.85
-9.52,-21.96,1022.97
-9.52,-22.08,1022.97
-9.27,-21.72,1022.85
-9.27,-21.47,1023.09
-9.39,-21.72,1022.97
-9.52,-21.96,1022.85
-9.27,-21.72,1022.85
-10.00,-22.69,1022.73
-9.03,-21.47,1022.60
-9.27,-21.72,1022.85
-9.52,-21.96,1023.09
-9.27,-21.47,1022.97
-9.15,-21.35,1022.85
-9.88,-22.45,1022.73
-9.76,-22.08,1022.85
-9.52,-21.59,1022.97
-10.25,-22.45,1022.97
-9.88,-22.45,1022.60
-9.88,-22.20,1022.85
-10.00,-22.20,1023.09
-9.64,-21.72,1023.09
-9.27,-21.35,1022.85
-10.00,-22.45,1022.73
-10.00,-22.33,1022.85
-9.76,-21.96,1022.85
-10.25,-22.45,1022.97
-10.13,-22.57,1022.85
-10.00,-22.20,1022.73
-9.76,-21.84,1023.09
-10.13,-22.33,1022.97
-10.00,-22.69,1022.73
-9.27,-21.47,1022.73
-10.00,-22.45,1022.85
-9.64,-21.96,1023.09
-10.00,-22.33,1023.09
-10.13,-22.57,1022.85
-9.88,-22.45,1022.73
-9.39,-21.84,1022.85
-9.88,-22.20,1023.09
-10.13,-22.45,1022.85
-9.88,-22.57,1022.73
-9.39,-21.84,1022.97
-9.76,-22.20,1023.09
-9.27,-21.72,1023.09
-10.00,-22.45,1023.09
-10.00,-22.45,1022.85
