X,Y,Z
-6.22,-27.69,747.98
-3.29,-30.99,835.70
-3.17,-29.16,854.85
-4.03,-30.62,875.35
-5.37,-27.57,898.16
-7.56,-27.69,913.05
-8.05,-26.47,929.76
-9.39,-29.28,935.25
-8.54,-25.86,945.87
-10.25,-29.77,955.75
-9.64,-30.01,962.46
-9.03,-31.48,970.14
-6.10,-35.87,976.61
-6.10,-35.01,982.71
-3.66,-36.11,986.98
-4.39,-34.65,991.86
-3.17,-35.50,994.30
-3.66,-35.87,996.25
-5.00,-29.77,997.23
-6.47,-33.67,999.06
-7.32,-32.70,1001.01
-6.10,-29.40,1001.99
-6.95,-28.55,1001.62
-8.78,-30.87,1002.84
-8.30,-28.18,1005.77
-10.98,-28.67,1006.50
-10.74,-30.87,1007.48
-10.00,-31.96,1008.94
-9.64,-31.96,1011.38
-6.34,-35.14,1012.60
-6.59,-36.36,1014.67
-4.64,-34.28,1014.67
-4.76,-36.23,1014.55
-4.88,-38.31,1016.26
-5.12,-36.60,1015.77
-3.42,-36.97,1015.28
-3.29,-37.45,1015.77
-4.64,-31.48,1015.28
-3.42,-31.48,1015.77
-6.34,-34.04,1014.67
-5.86,-29.89,1014.55
-6.10,-28.67,1014.55
-8.42,-32.21,1014.55
-10.00,-28.55,1015.65
-10.61,-27.08,1015.53
-10.74,-28.43,1014.67
-8.17,-30.99,1017.60
-9.76,-31.11,1018.21
-7.56,-32.45,1018.33
-8.54,-34.77,1018.94
-5.86,-34.77,1020.04
-6.10,-36.60,1019.19
-5.61,-36.97,1020.41
-3.29,-36.11,1020.04
-4.88,-37.82,1019.55
-4.76,-33.67,1019.19
-1.83,-33.55,1019.92
-4.03,-34.28,1018.70
-4.15,-31.60,1017.72
-5.12,-30.38,1016.87
-7.69,-29.89,1017.11
-8.54,-29.77,1015.53
-8.91,-29.77,1016.99
-9.52,-27.57,1016.38
-9.76,-29.77,1016.14
-11.59,-31.35,1017.85
-8.54,-27.82,1017.85
-9.76,-31.84,1018.09
-9.76,-33.92,1019.92
-8.42,-32.45,1019.43
-7.20,-33.79,1020.29
-6.34,-36.72,1021.02
-3.42,-36.72,1020.77
-5.37,-37.21,1021.14
-2.81,-37.45,1020.65
