X,Y,Z
-11.22,-11.47,663.92
-12.57,-18.06,810.32
-9.88,-17.32,832.77
-14.27,-16.84,852.66
-13.42,-17.20,864.13
-16.35,-15.13,882.30
-13.42,-14.64,902.56
-11.47,-18.06,917.07
-11.22,-20.50,935.25
-15.37,-21.96,941.84
-16.84,-17.81,951.84
-17.81,-14.64,957.82
-10.74,-13.79,968.19
-11.96,-21.84,978.81
-10.74,-25.01,985.76
-17.81,-23.55,986.49
-19.28,-22.69,989.30
-15.74,-17.93,988.81
-19.03,-14.88,990.64
-8.54,-14.15,996.01
-11.35,-18.30,997.23
-9.76,-21.23,1002.72
-9.15,-25.13,1006.26
-18.06,-25.86,1006.62
-17.20,-21.35,1008.09
-17.20,-17.69,1006.01
-17.32,-13.54,1005.28
-7.20,-14.76,1006.74
-12.08,-16.10,1006.62
-11.83,-19.03,1008.94
-13.42,-22.20,1014.80
-18.91,-24.03,1015.65
-19.15,-22.20,1017.72
-16.84,-20.50,1015.28
-16.96,-19.40,1013.82
-11.47,-16.84,1013.94
-13.05,-18.30,1011.62
-13.91,-18.30,1015.53
-13.66,-19.64,1016.38
-16.10,-20.74,1016.75
-13.66,-21.35,1020.77
-13.79,-20.98,1021.14
-12.93,-20.86,1018.46
-12.69,-20.50,1019.43
-10.86,-19.03,1015.77
-16.59,-20.37,1015.16
-14.27,-17.93,1016.50
-16.59,-17.08,1017.24
-13.66,-18.54,1021.51
-12.20,-20.74,1021.14
-12.57,-22.69,1021.38
-10.49,-22.08,1021.75
-14.03,-23.06,1018.46
-17.08,-20.98,1016.38
-15.86,-17.57,1018.82
-16.59,-16.23,1017.24
-14.52,-16.96,1020.90
-10.98,-20.25,1022.60
-13.05,-23.55,1021.87
-10.37,-22.69,1022.60
-15.62,-21.23,1017.60
-17.57,-21.47,1018.58
-15.74,-15.74,1018.58
-16.59,-16.10,1018.70
-15.25,-15.86,1019.80
-10.25,-19.64,1023.58
-12.69,-22.20,1022.48
-10.98,-23.91,1023.58
-10.86,-23.55,1022.85
-18.54,-22.45,1018.70
-15.37,-16.71,1019.19
-16.84,-14.64,1018.21
-10.00,-17.57,1022.60
-10.49,-19.89,1023.21
-10.49,-20.50,1022.60
-10.86,-24.52,1024.31
-11.83,-23.91,1022.73
-19.64,-21.72,1019.19
-17.81,-19.76,1019.80
-17.81,-14.03,1018.09
-11.59,-15.37,1020.53
-9.88,-17.20,1022.60
-12.69,-24.64,1023.34
-10.98,-24.77,1024.92
-17.81,-22.81,1020.04
-20.25,-20.86,1019.43
-17.08,-17.81,1019.43
-15.74,-15.49,1019.19
-15.25,-14.27,1017.97
-10.74,-16.47,1021.14
-11.59,-22.94,1022.85
-11.47,-25.01,1024.07
-11.83,-27.94,1026.02
-19.76,-23.18,1020.90
-15.98,-18.06,1019.92
-16.23,-13.18,1017.24
-15.74,-12.93,1018.33
-8.54,-18.54,1021.87
-11.47,-19.89,1022.36
-11.10,-22.20,1022.12
-10.98,-25.13,1025.78
-14.64,-25.50,1024.31
-18.54,-22.33,1021.87
-16.35,-17.45,1019.92
-17.69,-12.69,1017.97
-9.52,-14.88,1018.82
-11.47,-18.91,1019.55
-12.81,-20.50,1023.09
-10.61,-23.91,1024.68
-14.15,-24.64,1024.43
-15.86,-22.94,1025.29
-14.88,-21.72,1024.80
-14.40,-18.54,1020.65
-15.86,-17.08,1020.04
-8.66,-16.59,1018.09
-15.49,-18.42,1017.48
-12.08,-18.54,1020.16
-15.37,-20.86,1022.12
-16.47,-21.96,1025.53
-13.66,-21.59,1024.31
-14.03,-22.33,1022.85
-13.18,-19.40,1022.12
-10.13,-18.91,1020.90
-13.54,-19.40,1017.85
-15.98,-17.69,1020.65
-15.37,-17.45,1019.68
-18.54,-16.23,1020.29
-14.64,-16.47,1022.60
-13.05,-18.79,1023.21
-11.22,-22.81,1024.56
-11.10,-23.06,1022.60
-16.47,-23.55,1021.38
-15.86,-20.74,1020.53
-16.71,-19.76,1020.53
-20.37,-17.08,1019.19
-10.61,-13.66,1020.90
-10.61,-13.91,1020.77
-10.49,-16.47,1021.87
-8.54,-22.45,1025.29
-8.78,-23.67,1024.07
-16.10,-25.62,1024.43
-18.06,-23.42,1023.46
