X,Y,Z
64.42,78.32,786.41
82.59,101.75,1010.04
81.98,100.77,1010.28
82.11,101.50,1011.14
82.72,101.14,1010.89
82.72,101.38,1011.14
82.47,101.38,1011.14
82.96,101.50,1010.28
82.72,101.38,1011.01
82.84,101.38,1010.65
82.47,101.87,1011.38
82.23,101.26,1010.40
82.23,102.60,1010.89
82.72,101.26,1011.14
82.84,101.75,1011.26
82.72,101.87,1011.75
82.47,101.87,1011.87
82.84,101.87,1011.38
82.72,101.75,1011.14
83.57,101.99,1010.77
82.84,102.11,1010.89
82.96,101.99,1011.14
82.47,102.24,1011.38
82.59,101.99,1010.89
82.72,101.75,1010.04
82.72,101.75,1010.40
83.20,102.11,1010.89
82.96,101.75,1010.89
83.20,102.24,1011.14
83.45,101.99,1011.14
83.20,102.11,1011.01
83.45,102.36,1010.65
83.08,101.99,1011.38
82.72,102.36,1010.89
82.59,102.60,1011.26
82.72,102.48,1011.14
82.84,102.48,1011.26
83.08,102.48,1011.14
83.20,101.99,1010.28
82.84,102.60,1010.89
83.08,102.72,1010.65
82.96,102.48,1010.77
83.33,102.60,1010.53
83.33,102.36,1010.77
83.57,102.36,1010.77
83.33,102.48,1010.65
83.20,102.72,1011.26
82.96,102.60,1011.01
83.45,102.72,1011.26
83.57,102.72,1011.01
83.20,102.60,1010.40
82.84,102.36,1010.40
82.84,102.72,1010.28
83.33,102.97,1010.89
83.08,102.85,1010.28
83.33,102.72,1010.40
83.20,102.97,1010.65
82.96,102.72,1010.77
82.72,102.85,1010.89
82.96,102.72,1010.16
82.59,103.09,1010.04
83.20,102.97,1010.65
83.20,102.85,1010.65
82.59,102.11,1010.40
83.08,103.46,1010.16
82.84,102.97,1010.65
83.20,103.09,1011.01
82.72,102.72,1010.16
82.96,103.33,1010.65
82.47,102.11,1009.79
83.33,102.72,1009.43
83.45,103.21,1010.04
83.20,102.72,1010.40
83.33,103.46,1010.65
83.20,102.85,1010.16
82.72,103.09,1010.77
83.45,103.46,1011.14
82.96,102.97,1010.04
82.84,102.85,1009.55
82.72,102.72,1009.67
82.72,103.33,1010.40
83.20,103.21,1010.77
83.45,103.46,1010.40
82.96,103.09,1010.40
83.45,103.58,1009.92
82.84,103.21,1010.16
83.33,103.09,1010.53
82.96,103.58,1010.53
83.08,102.97,1010.04
82.84,103.09,1010.04
83.20,103.46,1010.53
82.84,103.33,1010.40
83.20,103.46,1010.40
83.33,103.33,1010.65
83.45,103.21,1009.79
83.20,103.21,1010.04
82.96,102.97,1009.67
82.72,103.46,1010.04
82.84,103.46,1009.92
83.20,103.46,1010.40
83.20,103.21,1010.16
83.33,103.33,1010.04
82.96,103.58,1010.40
83.45,103.21,1010.28
83.20,103.21,1009.92
82.96,103.21,1009.92
82.84,103.58,1009.92
83.08,103.58,1010.28
83.57,103.70,1010.28
82.96,103.46,1010.16
83.08,103.46,1010.16
83.08,103.70,1010.53
83.81,103.82,1010.40
83.45,103.21,1009.92
83.94,103.21,1011.01
83.20,103.21,1010.28
82.96,103.70,1010.65
83.20,103.94,1010.89
82.47,103.33,1009.43
82.72,103.46,1010.28
83.57,103.21,1009.67
83.94,103.33,1010.16
83.33,103.46,1010.40
83.08,103.33,1009.79
82.96,103.46,1009.67
83.69,103.46,1009.92
83.20,103.94,1010.40
83.69,103.58,1009.92
83.08,104.19,1010.65
83.08,103.46,1009.55
82.96,103.33,1009.31
82.96,103.82,1009.92
83.33,103.94,1010.16
83.20,103.70,1009.79
83.20,104.31,1010.40
82.96,103.70,1009.67
83.33,103.82,1009.92
83.20,103.82,1009.92
82.84,104.43,1010.53
83.20,103.58,1009.18
82.84,103.46,1009.55
82.96,103.94,1010.16
83.45,103.70,1009.67
83.08,104.19,1010.28
82.96,103.33,1009.79
82.72,103.46,1009.43
83.08,104.07,1009.67
83.20,103.94,1009.67
82.96,104.31,1009.92
82.84,103.70,1009.18
82.96,103.58,1009.43
83.20,103.94,1009.18
83.20,103.82,1009.92
82.84,104.19,1010.16
83.33,103.46,1009.55
83.45,103.82,1009.55
83.45,104.19,1009.55
82.96,104.43,1010.16
83.57,103.70,1009.55
83.33,103.82,1009.67
83.20,103.94,1009.67
83.08,104.07,1009.92
82.72,104.19,1009.92
83.20,104.31,1010.16
83.45,104.19,1009.43
82.96,104.19,1009.18
82.96,104.19,1009.92
83.20,104.07,1009.31
82.84,103.82,1009.06
82.96,104.19,1009.43
83.20,104.43,1009.79
83.33,104.43,1009.67
83.08,104.19,1009.18
83.45,104.31,1009.67
82.84,104.19,1009.06
83.20,104.31,1009.92
83.45,104.68,1009.31
83.20,104.43,1009.43
82.96,104.43,1009.92
83.45,104.19,1009.43
83.20,104.19,1008.94
83.08,104.19,1009.18
82.96,104.43,1009.43
82.84,104.43,1010.04
83.33,104.31,1009.79
