X,Y,Z
23.42,-105.41,803.61
32.70,-132.49,1013.70
33.06,-132.74,1015.53
32.45,-132.25,1016.38
32.94,-132.74,1015.41
33.18,-132.49,1016.26
32.82,-132.61,1016.02
32.94,-132.74,1015.77
33.06,-133.10,1015.77
32.94,-132.86,1015.77
32.70,-132.49,1016.26
32.94,-132.25,1016.02
32.45,-132.25,1016.14
32.94,-132.37,1016.26
32.33,-132.25,1016.26
32.82,-132.61,1016.02
32.94,-132.37,1016.26
32.45,-132.61,1015.65
32.94,-133.22,1015.89
33.67,-132.49,1015.77
33.43,-132.13,1016.26
32.94,-132.86,1015.89
32.94,-132.49,1016.02
32.57,-132.25,1016.14
32.21,-132.74,1016.02
33.31,-132.25,1015.89
32.70,-132.49,1016.38
33.18,-132.98,1016.26
34.40,-132.74,1016.63
32.94,-132.98,1016.02
33.06,-132.49,1016.14
29.52,-132.25,1015.77
34.40,-131.88,1016.38
33.06,-131.88,1016.02
32.82,-132.13,1015.77
33.31,-132.61,1016.02
32.45,-132.13,1015.89
34.40,-132.86,1016.50
32.33,-132.00,1016.26
32.82,-132.13,1016.14
33.79,-132.13,1015.53
32.82,-132.25,1016.02
32.57,-132.74,1015.41
33.55,-132.74,1015.77
32.45,-132.86,1016.14
30.74,-132.37,1016.50
35.75,-132.00,1015.77
31.35,-132.13,1016.02
34.04,-132.49,1016.14
33.31,-132.25,1016.26
33.67,-132.00,1016.75
33.67,-132.25,1016.26
33.31,-131.76,1016.14
33.67,-132.25,1016.02
33.06,-132.37,1016.87
32.94,-132.25,1016.50
33.06,-132.25,1016.50
33.55,-131.76,1015.77
32.94,-132.25,1015.77
33.67,-132.25,1016.50
33.43,-132.00,1016.63
33.67,-132.13,1016.50
33.55,-131.88,1016.02
33.43,-131.76,1015.65
33.92,-131.52,1015.53
32.57,-132.49,1016.14
34.16,-132.86,1015.89
34.16,-132.49,1016.63
33.18,-132.00,1016.14
33.67,-131.76,1016.02
33.43,-131.52,1015.77
33.92,-131.76,1016.26
32.94,-132.00,1016.50
33.31,-131.76,1016.50
38.43,-131.52,1015.28
30.74,-132.25,1015.28
33.92,-132.49,1016.14
34.16,-132.74,1016.38
33.67,-132.00,1016.99
33.43,-131.27,1016.50
32.70,-131.27,1016.75
33.18,-131.52,1016.02
34.04,-131.39,1016.26
33.18,-132.00,1016.75
34.16,-132.00,1016.75
33.18,-131.76,1016.02
33.43,-131.39,1016.26
33.79,-131.39,1015.89
33.31,-131.88,1016.26
33.79,-132.37,1016.02
33.92,-131.76,1016.26
32.94,-131.39,1016.26
33.79,-131.27,1015.89
33.18,-132.00,1016.26
33.92,-132.13,1016.63
33.79,-132.13,1016.38
33.43,-131.88,1016.14
34.16,-131.52,1015.41
32.94,-131.64,1015.28
33.43,-131.52,1015.41
33.18,-131.76,1015.65
33.43,-132.00,1015.77
34.65,-131.76,1016.02
33.92,-132.00,1016.63
28.67,-133.10,1019.68
42.09,-131.52,1016.02
33.79,-132.13,1016.75
34.65,-131.27,1016.50
33.43,-131.76,1016.14
33.79,-131.64,1016.14
33.92,-131.27,1015.89
35.38,-131.15,1017.24
31.23,-132.13,1016.87
35.62,-131.76,1015.89
35.26,-131.64,1016.02
34.40,-131.52,1016.02
35.38,-131.15,1016.02
34.53,-131.52,1016.02
34.53,-131.76,1015.77
34.16,-131.64,1016.38
34.65,-131.52,1015.53
34.89,-131.64,1015.77
34.77,-131.39,1016.02
34.16,-131.39,1016.26
34.28,-132.00,1016.14
35.38,-131.76,1015.65
34.65,-131.76,1016.14
34.28,-131.52,1015.77
34.16,-131.39,1015.77
35.14,-131.39,1016.02
34.40,-131.88,1016.50
34.40,-132.00,1016.26
34.40,-131.52,1016.26
35.01,-131.52,1015.28
34.16,-131.27,1016.02
35.26,-131.27,1015.89
33.92,-132.00,1016.50
35.38,-131.76,1016.63
34.53,-131.76,1016.26
34.53,-131.27,1016.26
34.40,-131.27,1016.38
34.28,-131.64,1016.02
35.26,-131.76,1016.38
34.89,-131.76,1016.87
34.53,-131.39,1016.38
35.50,-131.39,1015.53
34.89,-131.27,1016.14
35.26,-131.52,1016.14
35.38,-131.52,1016.50
34.89,-131.52,1016.75
34.77,-131.27,1015.77
34.53,-131.39,1016.02
35.01,-131.15,1016.26
34.89,-131.76,1016.14
35.38,-131.76,1016.14
34.65,-131.52,1016.75
34.40,-131.39,1016.14
35.01,-131.27,1015.77
34.40,-131.39,1015.89
34.89,-131.27,1016.02
34.16,-131.88,1016.99
34.77,-131.39,1016.38
35.26,-131.39,1015.77
34.28,-131.27,1016.26
35.50,-131.52,1016.02
34.53,-131.27,1016.14
35.01,-131.76,1016.02
34.65,-131.52,1016.02
34.89,-131.27,1015.77
35.14,-131.15,1015.53
34.89,-131.76,1016.02
35.62,-131.88,1016.26
35.14,-131.76,1016.75
35.14,-131.39,1016.02
34.89,-131.39,1015.53
35.01,-131.27,1015.77
35.26,-131.52,1016.02
34.89,-131.88,1016.50
35.26,-131.52,1016.14
34.53,-131.76,1016.75
34.53,-131.27,1015.53
35.01,-131.39,1015.89
34.40,-131.52,1015.89
35.26,-131.64,1016.14
34.65,-131.64,1016.26
34.77,-131.39,1015.77
34.89,-131.15,1015.65
34.65,-131.52,1016.26
35.14,-131.76,1016.26
34.28,-131.88,1016.38
34.77,-131.39,1015.77
34.89,-131.39,1016.02
34.53,-131.39,1015.65
35.38,-131.27,1015.77
34.77,-131.76,1016.26
34.40,-131.88,1016.38
34.77,-131.76,1016.50
34.40,-131.39,1015.77
35.38,-131.15,1015.41
34.40,-131.52,1016.26
35.14,-131.76,1015.77
34.65,-131.64,1016.50
34.65,-131.39,1016.14
34.89,-131.39,1015.65
34.53,-131.27,1015.89
34.89,-131.88,1016.26
