X_times,Y-amplitude
0.0,-1105.0306314508239
0.005,-1272.9959127951058
0.01,-1438.638149762236
0.015,-1601.3937619574187
0.02,-1760.7116957580424
0.025,-1916.0570543885292
0.03,-2066.91457899861
0.035,-2212.7919406555907
0.04,-2353.222809556506
0.045,-2487.7696748229855
0.05,-2616.026395021604
0.055,-2737.620465280199
0.06,-2852.214991107854
0.065,-2959.5103616673787
0.07,-3059.245616516221
0.075,-3151.199500286673
0.08,-3235.191200182973
0.085,-3311.0807622894363
0.09,-3378.7691851187437
0.095,-3438.198192851051
0.1,-3489.3496960153157
0.105,-3532.2449530764093
0.11,-3566.9434514380246
0.115,-3593.5415298832563
0.12,-3612.1707660599454
0.125,-3622.9961524194755
0.13,-3626.2140825587567
0.135,-3622.050167908246
0.14,-3610.756902983744
0.145,-3592.611196791922
0.15,-3567.9117889480276
0.155,-3536.976571574696
0.16,-3500.1398414699065
0.165,-3457.749510293724
0.17,-3410.1643025015014
0.175,-3357.7509707431127
0.18,-3300.8815563819912
0.185,-3239.930719101221
0.19,-3175.2731550439876
0.195,-3107.2811185519004
0.2,-3036.3220591987533
0.205,-2962.7563840420503
0.21,-2886.9353549691896
0.215,-2809.199132295311
0.22,-2729.874977505147
0.225,-2649.2756292152335
0.23,-2567.697866217367
0.235,-2485.4212693558234
0.24,-2402.70719007897
0.245,-2319.7979285033384
0.25,-2236.916118742939
0.255,-2154.2643150073677
0.26,-2072.024769212117
0.265,-1990.359389877648
0.27,-1909.4098728004974
0.275,-1829.2979958184028
0.28,-1750.1260720827468
0.285,-1671.9775575708923
0.29,-1594.917808317149
0.295,-1518.9949807927146
0.3,-1444.2410654293906
0.305,-1370.6730392817287
0.31,-1298.294120217827
0.315,-1227.095102647719
0.32,-1157.0557541665491
0.325,-1088.1462537823068
0.33,-1020.3286553350677
0.335,-953.5583634892096
0.34,-887.7856131893992
0.345,-822.9569457182635
0.35,-759.0166748570114
0.355,-695.9083350620864
0.36,-633.576100617774
0.365,-571.9661614753086
0.37,-511.0280390936591
0.375,-450.7158249184461
