time [s],heart_rate [bpm] (/api/datatype/19/)
1666734509.60937500,70
1666734510.60937500,70
1666734511.60937500,70
1666734512.60937500,70
1666734513.60937500,70
1666734514.60937500,70
1666734515.60937500,70
1666734516.60937500,70
1666734517.60937500,70
1666734518.60937500,100
1666734519.60937500,98
1666734520.60937500,95
1666734521.60937500,94
1666734522.60937500,92
1666734523.60937500,91
1666734524.60937500,82
1666734525.60937500,79
1666734526.60937500,76
1666734527.60937500,76
1666734528.60937500,76
1666734529.60937500,77
1666734530.60937500,75
1666734531.60937500,74
1666734532.60937500,73
1666734533.60937500,72
1666734534.60937500,72
1666734535.60937500,70
1666734536.60937500,70
1666734537.60937500,70
1666734538.60937500,71
1666734539.60937500,71
1666734540.60937500,71
1666734541.60937500,70
1666734542.60937500,69
1666734543.60937500,68
1666734544.60937500,68
1666734545.60937500,69
1666734546.60937500,70
1666734547.60937500,70
1666734548.60937500,70
1666734549.60937500,70
1666734550.60937500,71
1666734551.60937500,71
1666734552.60937500,70
1666734553.60937500,69
1666734554.60937500,69
1666734555.60937500,68
1666734556.60937500,68
1666734557.60937500,69
1666734558.60937500,70
1666734559.60937500,70
1666734560.60937500,68
1666734561.60937500,68
1666734562.60937500,68
1666734563.60937500,67
1666734564.60937500,66
1666734565.60937500,67
1666734566.60937500,68
1666734567.60937500,68
1666734568.60937500,68
1666734569.60937500,68
1666734570.60937500,68
1666734571.60937500,67
1666734572.60937500,66
1666734573.60937500,66
1666734574.60937500,67
1666734575.60937500,67
1666734576.60937500,66
1666734577.60937500,66
1666734578.60937500,66
1666734579.60937500,65
1666734580.60937500,65
1666734581.60937500,64
1666734582.60937500,63
1666734583.60937500,63
1666734584.60937500,63
1666734585.60937500,62
1666734586.60937500,62
1666734587.60937500,62
1666734588.60937500,61
1666734589.60937500,61
1666734590.60937500,61
1666734591.60937500,61
1666734592.60937500,63
1666734593.60937500,64
1666734594.60937500,64
1666734595.60937500,65
1666734596.60937500,66
1666734597.60937500,66
1666734598.60937500,67
1666734599.60937500,67
1666734600.60937500,68
1666734601.60937500,69
1666734602.60937500,69
1666734603.60937500,70
1666734604.60937500,69
1666734605.60937500,69
1666734606.60937500,68
1666734607.60937500,67
1666734608.60937500,67
1666734609.60937500,67
1666734610.60937500,66
1666734611.60937500,67
1666734612.60937500,67
1666734613.60937500,67
1666734614.60937500,66
1666734615.60937500,66
1666734616.60937500,66
1666734617.60937500,65
1666734618.60937500,66
1666734619.60937500,66
1666734620.60937500,66
1666734621.60937500,66
1666734622.60937500,67
1666734623.60937500,67
1666734624.60937500,66
1666734625.60937500,67
1666734626.60937500,66
1666734627.60937500,66
1666734628.60937500,67
1666734629.60937500,67
1666734630.60937500,68
1666734631.60937500,68
1666734632.60937500,67
1666734633.60937500,68
1666734634.60937500,68
1666734635.60937500,68
1666734636.60937500,67
1666734637.60937500,68
1666734638.60937500,68
1666734639.60937500,69
1666734640.60937500,70
1666734641.60937500,71
1666734642.60937500,71
1666734643.60937500,70
1666734644.60937500,71
1666734645.60937500,71
1666734646.60937500,72
1666734647.60937500,72
1666734648.60937500,73
1666734649.60937500,73
1666734650.60937500,74
1666734651.60937500,74
1666734652.60937500,75
1666734653.60937500,74
1666734654.60937500,73
1666734655.60937500,72
1666734656.60937500,73
1666734657.60937500,72
1666734658.60937500,72
1666734659.60937500,71
1666734660.60937500,70
1666734661.60937500,70
1666734662.60937500,68
1666734663.60937500,68
1666734664.60937500,68
1666734665.60937500,67
1666734666.60937500,67
1666734667.60937500,66
1666734668.60937500,66
1666734669.60937500,66
1666734670.60937500,65
1666734671.60937500,65
1666734672.60937500,66
1666734673.60937500,65
1666734674.60937500,65
1666734675.60937500,65
1666734676.60937500,65
1666734677.60937500,65
1666734678.60937500,65
1666734679.60937500,65
1666734680.60937500,65
1666734681.60937500,66
1666734682.60937500,66
1666734683.60937500,65
1666734684.60937500,65
1666734685.60937500,65
1666734686.60937500,65
1666734687.60937500,65
1666734688.60937500,66
1666734689.60937500,66
1666734690.60937500,67
1666734691.60937500,67
1666734692.60937500,68
1666734693.60937500,69
1666734694.60937500,68
1666734695.60937500,68
1666734696.60937500,68
1666734697.60937500,69
1666734698.60937500,70
1666734699.60937500,71
1666734700.60937500,72
1666734701.60937500,72
1666734702.60937500,71
1666734703.60937500,70
1666734704.60937500,70
1666734705.60937500,69
1666734706.60937500,68
1666734707.60937500,68
1666734708.60937500,69
1666734709.60937500,69
1666734710.60937500,68
1666734711.60937500,67
1666734712.60937500,67
1666734713.60937500,67
1666734714.60937500,66
1666734715.60937500,65
1666734716.60937500,65
1666734717.60937500,65
1666734718.60937500,66
1666734719.60937500,66
1666734720.60937500,67
1666734721.60937500,67
1666734722.60937500,66
1666734723.60937500,66
1666734724.60937500,67
1666734725.60937500,67
1666734726.60937500,67
1666734727.60937500,67
1666734728.60937500,67
1666734729.60937500,67
1666734730.60937500,68
1666734731.60937500,67
1666734732.60937500,67
1666734733.60937500,67
1666734734.60937500,67
1666734735.60937500,67
1666734736.60937500,67
1666734737.60937500,67
1666734738.60937500,67
1666734739.60937500,67
1666734740.60937500,68
1666734741.60937500,68
1666734742.60937500,68
1666734743.60937500,68
1666734744.60937500,68
1666734745.60937500,68
1666734746.60937500,68
1666734747.60937500,68
1666734748.60937500,69
1666734749.60937500,69
1666734750.60937500,68
1666734751.60937500,68
1666734752.60937500,69
1666734753.60937500,69
1666734754.60937500,69
1666734755.60937500,69
1666734756.60937500,69
1666734757.60937500,69
1666734758.60937500,71
1666734759.60937500,73
1666734760.60937500,73
1666734761.60937500,72
1666734762.60937500,73
1666734763.60937500,73
1666734764.60937500,74
1666734765.60937500,74
1666734766.60937500,75
1666734767.60937500,75
1666734768.60937500,75
1666734769.60937500,75
1666734770.60937500,74
1666734771.60937500,72
1666734772.60937500,71
1666734773.60937500,71
1666734774.60937500,71
1666734775.60937500,70
1666734776.60937500,71
1666734777.60937500,71
1666734778.60937500,69
1666734779.60937500,68
1666734780.60937500,67
1666734781.60937500,66
1666734782.60937500,66
1666734783.60937500,66
1666734784.60937500,67
1666734785.60937500,66
1666734786.60937500,66
1666734787.60937500,66
1666734788.60937500,66
1666734789.60937500,67
1666734790.60937500,66
1666734791.60937500,66
1666734792.60937500,67
1666734793.60937500,70
1666734794.60937500,71
1666734795.60937500,73
1666734796.60937500,75
1666734797.60937500,76
1666734798.60937500,80
1666734799.60937500,81
1666734800.60937500,83
1666734801.60937500,84
1666734802.60937500,89
1666734803.60937500,90
1666734804.60937500,90
1666734805.60937500,89
1666734806.60937500,89
1666734807.60937500,89
1666734808.60937500,88
1666734809.60937500,85
1666734810.60937500,84
1666734811.60937500,83
1666734812.60937500,82
1666734813.60937500,79
1666734814.60937500,77
1666734815.60937500,75
1666734816.60937500,75
1666734817.60937500,74
1666734818.60937500,73
1666734819.60937500,72
1666734820.60937500,71
1666734821.60937500,70
1666734822.60937500,70
1666734823.60937500,70
1666734824.60937500,70
1666734825.60937500,70
1666734826.60937500,69
1666734827.60937500,69
1666734828.60937500,70
1666734829.60937500,71
1666734830.60937500,72
1666734831.60937500,72
1666734832.60937500,74
1666734833.60937500,75
1666734834.60937500,76
1666734835.60937500,76
1666734836.60937500,77
1666734837.60937500,77
1666734838.60937500,77
1666734839.60937500,76
1666734840.60937500,76
1666734841.60937500,75
1666734842.60937500,74
1666734843.60937500,75
1666734844.60937500,75
1666734845.60937500,74
1666734846.60937500,74
1666734847.60937500,74
1666734848.60937500,72
1666734849.60937500,71
1666734850.60937500,71
1666734851.60937500,71
1666734852.60937500,71
1666734853.60937500,71
1666734854.60937500,72
1666734855.60937500,72
1666734856.60937500,72
1666734857.60937500,72
1666734858.60937500,72
1666734859.60937500,71
1666734860.60937500,70
1666734861.60937500,70
1666734862.60937500,70
1666734863.60937500,70
1666734864.60937500,70
1666734865.60937500,70
1666734866.60937500,70
1666734867.60937500,70
1666734868.60937500,69
1666734869.60937500,69
1666734870.60937500,68
1666734871.60937500,68
1666734872.60937500,68
1666734873.60937500,68
1666734874.60937500,68
1666734875.60937500,68
1666734876.60937500,68
1666734877.60937500,69
1666734878.60937500,68
1666734879.60937500,69
1666734880.60937500,69
1666734881.60937500,69
